decision_id,scope,object_guid,current_value,proposed_value,basis,confidence,review_required,status,notes
SPACE-DELETE-001,space,0EMmlqm7nBa8ZAc7YxtYmk,已从 f216251 基线移除,DELETE,历史 LongName 明确标记为逃生楼梯待删除且当前 IFC 已不存在,1.00,no,implemented,保留记录用于证明删除不是流水线误报
SPACE-DELETE-002,space,3xVWMElVzD1fYruy6W$$aJ,已从 f216251 基线移除,DELETE,历史 LongName 明确标记为逃生楼梯待删除且当前 IFC 已不存在,1.00,no,implemented,保留记录用于证明删除不是流水线误报
SPACE-DELETE-003,space,2QMCgSr7fF3OW7tEUdmkQh,已从 f216251 基线移除,DELETE,历史 LongName 明确标记为逃生楼梯待删除且当前 IFC 已不存在,1.00,no,implemented,保留记录用于证明删除不是流水线误报
SPACE-REL-001,space-relation,2EGrx1BlPAued7yJAAkuEO,22 个 Space 与 168 个非 Space 共处 FFL 的 IfcRelContainedInSpatialStructure,只从 mixed containment 移除 22 个 Space 并改由 FFL 的 IfcRelAggregates 聚合,只读副本预演已证明原 containment 保留 168 个非 Space 且新 aggregation 唯一包含 22 个 Space,0.99,yes,pending,IfcSpace 在 IFC4 不应作为普通元素留在 spatial containment；确认后才能写入
SPACE-MERGE-001,space,2Ipk_EVoLERRYRYxRXZV5U,2 个主卧飘窗 IfcSpace,合并为 1 个主卧飘窗 IfcSpace,用户在 Blender 中确认空间边界正确并要求所有同名 IfcSpace 合并；仅消除内部接缝且保留全部外轮廓原顶点坐标,1.00,no,implemented,保留 2Ipk_EVoLERRYRYxRXZV5U；移除 3I9m1TWy579gzT45Ge1kFH
SPACE-MERGE-002,space,004pVXwHv1W8qavLfulRuQ,2 个次卧飘窗 IfcSpace,合并为 1 个次卧飘窗 IfcSpace,用户在 Blender 中确认空间边界正确并要求所有同名 IfcSpace 合并；仅消除内部接缝且保留全部外轮廓原顶点坐标,1.00,no,implemented,保留 004pVXwHv1W8qavLfulRuQ；移除 0NpBKBwLvApfFOGmJBAUN4
SPACE-MERGE-003,space,3_0Iqe4h98T8fmNcI7e34S,2 个走廊 IfcSpace,合并为 1 个走廊 IfcSpace,用户在 Blender 中确认空间边界正确并要求所有同名 IfcSpace 合并；仅消除内部接缝且保留全部外轮廓原顶点坐标,1.00,no,implemented,保留 3_0Iqe4h98T8fmNcI7e34S；移除 2DW23WGlbApPZT9oTVsFyI
SPACE-MERGE-004,space,3AlgzRX3jCvPS420cah9Qn,2 个餐厅飘窗 IfcSpace,合并为 1 个餐厅飘窗 IfcSpace,用户在 Blender 中确认空间边界正确并要求所有同名 IfcSpace 合并；仅消除内部接缝且保留全部外轮廓原顶点坐标,1.00,no,implemented,保留 3AlgzRX3jCvPS420cah9Qn；移除 18AAcyA5DFT99uxiNhYyC9
SPACE-RESPLIT-001,space,2Ipk_EVoLERRYRYxRXZV5U,合并后的主卧飘窗不是最小 Box,按 Grid 01-02-05/J-K 重划为 2 个 Box,用户检查后要求所有非 Box Space 重新按 Grid 在 XY 切分并沿 Z 拉伸；旧 LongName 暂时继承供重新标记,1.00,no,implemented,保留原 GlobalId 于 01-02/J-K；新增 02-05/J-K
SPACE-RESPLIT-002,space,004pVXwHv1W8qavLfulRuQ,合并后的次卧飘窗不是最小 Box,按 Grid 02-05-06/Q-R 重划为 2 个 Box,用户检查后要求所有非 Box Space 重新按 Grid 在 XY 切分并沿 Z 拉伸；旧 LongName 暂时继承供重新标记,1.00,no,implemented,保留原 GlobalId 于 02-05/Q-R；新增 05-06/Q-R
SPACE-RESPLIT-003,space,3_0Iqe4h98T8fmNcI7e34S,合并后的走廊不是最小 Box,按 Grid 05-06-07-08-11-13/M-N-O 重划为 6 个 Box,用户检查后要求所有非 Box Space 重新按 Grid 在 XY 切分并沿 Z 拉伸；Grid M 数值误差 0.00002233 mm 已吸附且未生成薄片,1.00,no,implemented,保留原 GlobalId 于 05-06/N-O；新增其余 5 格
