source_id,discipline,sheet_id,decision_scope,source_kind,source_document,source_url,local_path,sha256,locator,evidence,proves,does_not_prove,status,confidence,review_required,formal_ifc_write_allowed,manufacturer,model_scope,revision,publication_date,legacy_targets,legacy_projection_json,notes
E304-CAD-001,ELEC,E-304,弱电箱所在家具,official_dwg,01 成品房(D1户型-115)平面系统图.dwg,,/Users/jiaxinchen/Documents/Projects/仁恒-滨海湾/图纸/矩阵纵横/01 成品房(D1户型-115)平面系统图.dwg,ba355f6a90732ad07f843d59e8bab5e1da9daffe7aed74889d1d265b2ce22d7e,通用说明；验证转换DXF BLOCK A$C5B8D7635 / TEXT #2598C0,强电箱、弱电箱配置于过道高柜内，见机电综合点位图,强弱电箱位于过道高柜,路由器产品与安装高度及柜内层位,verified_official_source,1.00,no,no,,,,,elec-source-evidence.csv,"{""evidence_id"":""E304-CAD-001"",""discipline"":""ELEC"",""sheet_id"":""E-304"",""decision_scope"":""弱电箱所在家具"",""source_kind"":""official_dwg"",""source_document"":""01 成品房(D1户型-115)平面系统图.dwg"",""source_sha256"":""ba355f6a90732ad07f843d59e8bab5e1da9daffe7aed74889d1d265b2ce22d7e"",""source_locator"":""通用说明；验证转换DXF BLOCK A$C5B8D7635 / TEXT #2598C0"",""evidence"":""强电箱、弱电箱配置于过道高柜内，见机电综合点位图"",""proves"":""强弱电箱位于过道高柜"",""does_not_prove"":""路由器产品与安装高度及柜内层位"",""status"":""verified_official_source"",""confidence"":""1.00"",""review_required"":""no"",""formal_ifc_write_allowed"":""no"",""notes"":""原始DWG哈希固定；文字实体由验证转换DXF机械读取""}",原始DWG哈希固定；文字实体由验证转换DXF机械读取
E304-CAD-002,ELEC,E-304,弱电箱平面柜格及安装基准,verified_dwg_conversion,d1-handover-plan.dxf,,tmp/dwg/d1-handover-plan.dxf,706483de83d90e526d7d7cf4f0b097902a4f97868c16aba5f6fac9d9e942f0f0,E-2弱电平面图；VIEWPORT #224238；LEADER #224271；TEXT #224270/#224295；柜体 #22017E/#220182,"引线落点换算为IFC XY约(4600.016,-735.369)mm；弱电箱底边H+350mm；箱内预留五孔插座",弱电箱所在右侧高柜柜格和平面坐标及弱电箱底边基准,路由器自身Z和供电数据端口散热检修条件,verified_conversion_evidence,1.00,no,no,,,,,elec-source-evidence.csv,"{""evidence_id"":""E304-CAD-002"",""discipline"":""ELEC"",""sheet_id"":""E-304"",""decision_scope"":""弱电箱平面柜格及安装基准"",""source_kind"":""verified_dwg_conversion"",""source_document"":""d1-handover-plan.dxf"",""source_sha256"":""706483de83d90e526d7d7cf4f0b097902a4f97868c16aba5f6fac9d9e942f0f0"",""source_locator"":""E-2弱电平面图；VIEWPORT #224238；LEADER #224271；TEXT #224270/#224295；柜体 #22017E/#220182"",""evidence"":""引线落点换算为IFC XY约(4600.016,-735.369)mm；弱电箱底边H+350mm；箱内预留五孔插座"",""proves"":""弱电箱所在右侧高柜柜格和平面坐标及弱电箱底边基准"",""does_not_prove"":""路由器自身Z和供电数据端口散热检修条件"",""status"":""verified_conversion_evidence"",""confidence"":""1.00"",""review_required"":""no"",""formal_ifc_write_allowed"":""no"",""notes"":""纸空间经50倍视口与Grid偏移机械换算；H+350不得当作路由器高度""}",纸空间经50倍视口与Grid偏移机械换算；H+350不得当作路由器高度
E304-USER-001,ELEC,E-304,客厅书房共享路由器位置,user_confirmation,Codex task 2026-08-10,,Codex task 2026-08-10,not_applicable_user_confirmation,用户本轮明确“Router 得放门口的柜子里头”,共享路由器放入户玄关/过道高柜的弱电箱柜位,用户对柜位的设计确认,具体产品Z层板散热检修供电通信及弱电拓扑,position_confirmed_details_pending,1.00,yes,no,,,,,elec-source-evidence.csv,"{""evidence_id"":""E304-USER-001"",""discipline"":""ELEC"",""sheet_id"":""E-304"",""decision_scope"":""客厅书房共享路由器位置"",""source_kind"":""user_confirmation"",""source_document"":""Codex task 2026-08-10"",""source_sha256"":""not_applicable_user_confirmation"",""source_locator"":""用户本轮明确“Router 得放门口的柜子里头”"",""evidence"":""共享路由器放入户玄关/过道高柜的弱电箱柜位"",""proves"":""用户对柜位的设计确认"",""does_not_prove"":""具体产品Z层板散热检修供电通信及弱电拓扑"",""status"":""position_confirmed_details_pending"",""confidence"":""1.00"",""review_required"":""yes"",""formal_ifc_write_allowed"":""no"",""notes"":""服务客厅与书房开放空间；主卧次卧仍各设有线回程AP""}",服务客厅与书房开放空间；主卧次卧仍各设有线回程AP
E304-PHOTO-001,ELEC,E-304,弱电箱外观及所在柜格,user_site_photo,drawings/evidence/E304-entry-cabinet-weak-current-box-closed.jpg,,drawings/evidence/E304-entry-cabinet-weak-current-box-closed.jpg,5f428bf20247e8a131ac4315e1f0c3958ab0e0e2823966f96cd7d80f4e1df938,弱电箱关闭状态近景；用户确认白色箱体为弱电箱,白色带面板散热孔箱体安装在玄关高柜右下柜格且柜格前方有独立层板,弱电箱外观、右下柜格位置及前方独立层板的现状关系,弱电箱内部设备身份、端口数量、柜体尺寸及路由器最终层位,verified_user_photo,1.00,no,no,,,,,elec-source-evidence.csv,"{""evidence_id"":""E304-PHOTO-001"",""discipline"":""ELEC"",""sheet_id"":""E-304"",""decision_scope"":""弱电箱外观及所在柜格"",""source_kind"":""user_site_photo"",""source_document"":""drawings/evidence/E304-entry-cabinet-weak-current-box-closed.jpg"",""source_sha256"":""5f428bf20247e8a131ac4315e1f0c3958ab0e0e2823966f96cd7d80f4e1df938"",""source_locator"":""弱电箱关闭状态近景；用户确认白色箱体为弱电箱"",""evidence"":""白色带面板散热孔箱体安装在玄关高柜右下柜格且柜格前方有独立层板"",""proves"":""弱电箱外观、右下柜格位置及前方独立层板的现状关系"",""does_not_prove"":""弱电箱内部设备身份、端口数量、柜体尺寸及路由器最终层位"",""status"":""verified_user_photo"",""confidence"":""1.00"",""review_required"":""no"",""formal_ifc_write_allowed"":""no"",""notes"":""原始960×1280 JPEG按字节固化；无比例尺不得据图量取施工尺寸""}",原始960×1280 JPEG按字节固化；无比例尺不得据图量取施工尺寸
APP-DW-SPEC-001,ELEC,E-303,APP-009/APP-010 洗碗机候选型号与额定负荷,official_product_spec,drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-specsheet.pdf,,drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-specsheet.pdf,32adbf767fc50dba3dcd4932b3d05b644ac3ae70dc3731f2935a2234553e22d4,p.1,Siemens SJ85ZX26MC；全嵌式 60 cm；2000 W；220 V；10 A；产品 775×598×550 mm；柜孔 H780–835×W600–608×D≥550 mm,候选型号的官方存在性、额定负荷及设备/柜孔包络,两台是否最终采购同型号、完整 E-Nr./FD、现场回路和安装点,verified_official_source,1.00,yes,no,,,,,elec-source-evidence.csv,"{""evidence_id"":""APP-DW-SPEC-001"",""discipline"":""ELEC"",""sheet_id"":""E-303"",""decision_scope"":""APP-009/APP-010 洗碗机候选型号与额定负荷"",""source_kind"":""official_product_spec"",""source_document"":""drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-specsheet.pdf"",""source_sha256"":""32adbf767fc50dba3dcd4932b3d05b644ac3ae70dc3731f2935a2234553e22d4"",""source_locator"":""p.1"",""evidence"":""Siemens SJ85ZX26MC；全嵌式 60 cm；2000 W；220 V；10 A；产品 775×598×550 mm；柜孔 H780–835×W600–608×D≥550 mm"",""proves"":""候选型号的官方存在性、额定负荷及设备/柜孔包络"",""does_not_prove"":""两台是否最终采购同型号、完整 E-Nr./FD、现场回路和安装点"",""status"":""verified_official_source"",""confidence"":""1.00"",""review_required"":""yes"",""formal_ifc_write_allowed"":""no"",""notes"":""两台仍为未采购候选；不得升级为已购或到货产品""}",两台仍为未采购候选；不得升级为已购或到货产品
APP-DW-INSTALL-001,ELEC/PLUM/INT1,E-303/P-201/I-503,APP-009/APP-010 洗碗机柜体门板与给排水接口,official_installation_manual,drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-installation-9002067344_A.pdf,,drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-installation-9002067344_A.pdf,9abc6dfb936e7ea6ed729bdd775bd03a5e0ad0d0740322c05b20be184be49765,p.1–2,柜孔 H780–835×W600–608×D≥550 mm；管线孔≥100×50 mm；门板 W594、厚≤20 mm、重3.5–8.5 kg；进水 G3/4；排水接管 Ø38 mm且图示最低280 mm；0.05–1 MPa；≥10 L/min；冷水≤25°C,洗碗机柜孔、门板、进排水和管线孔的官方施工约束,实际门板高度与踢脚 c/d 套算、现场阀门/支管/软管路径、两机位侧板固定条件,verified_official_source,1.00,yes,no,,,,,elec-source-evidence.csv,"{""evidence_id"":""APP-DW-INSTALL-001"",""discipline"":""ELEC/PLUM/INT1"",""sheet_id"":""E-303/P-201/I-503"",""decision_scope"":""APP-009/APP-010 洗碗机柜体门板与给排水接口"",""source_kind"":""official_installation_manual"",""source_document"":""drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-installation-9002067344_A.pdf"",""source_sha256"":""9abc6dfb936e7ea6ed729bdd775bd03a5e0ad0d0740322c05b20be184be49765"",""source_locator"":""p.1–2"",""evidence"":""柜孔 H780–835×W600–608×D≥550 mm；管线孔≥100×50 mm；门板 W594、厚≤20 mm、重3.5–8.5 kg；进水 G3/4；排水接管 Ø38 mm且图示最低280 mm；0.05–1 MPa；≥10 L/min；冷水≤25°C"",""proves"":""洗碗机柜孔、门板、进排水和管线孔的官方施工约束"",""does_not_prove"":""实际门板高度与踢脚 c/d 套算、现场阀门/支管/软管路径、两机位侧板固定条件"",""status"":""verified_official_source"",""confidence"":""1.00"",""review_required"":""yes"",""formal_ifc_write_allowed"":""no"",""notes"":""c/d 仅能按官方图定义由橱柜深化套算；不得当作通用踢脚退距""}",c/d 仅能按官方图定义由橱柜深化套算；不得当作通用踢脚退距
APP-DW-MANUAL-001,ELEC/PLUM,E-303/P-201,APP-009/APP-010 洗碗机供电供水与检修条件,official_user_manual,drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-user-manual-9002057324_C.pdf,,drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-user-manual-9002057324_C.pdf,be25d46f970dd1b8c570c44d0c57ca06000118d0d358f607cc6ed95b6ed49d90,p.3–4、p.8、p.31–32,220 V/50 Hz；2000 W；官方保护范围10–16 A；插头须可操作或固定线路设断开装置；禁用延长线/排插；冷水≤25°C；台面下安装固定橱柜两侧,供电容量、断开可达性、供水范围及侧向固定要求,现场断路器/RCD/插座位置、是否最终采购、专用通风孔面积,verified_official_source,1.00,yes,no,,,,,elec-source-evidence.csv,"{""evidence_id"":""APP-DW-MANUAL-001"",""discipline"":""ELEC/PLUM"",""sheet_id"":""E-303/P-201"",""decision_scope"":""APP-009/APP-010 洗碗机供电供水与检修条件"",""source_kind"":""official_user_manual"",""source_document"":""drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-user-manual-9002057324_C.pdf"",""source_sha256"":""be25d46f970dd1b8c570c44d0c57ca06000118d0d358f607cc6ed95b6ed49d90"",""source_locator"":""p.3–4、p.8、p.31–32"",""evidence"":""220 V/50 Hz；2000 W；官方保护范围10–16 A；插头须可操作或固定线路设断开装置；禁用延长线/排插；冷水≤25°C；台面下安装固定橱柜两侧"",""proves"":""供电容量、断开可达性、供水范围及侧向固定要求"",""does_not_prove"":""现场断路器/RCD/插座位置、是否最终采购、专用通风孔面积"",""status"":""verified_official_source"",""confidence"":""1.00"",""review_required"":""yes"",""formal_ifc_write_allowed"":""no"",""notes"":""说明书支持设备可抽出检修的设计推论；未给出专用柜体通风孔尺寸""}",说明书支持设备可抽出检修的设计推论；未给出专用柜体通风孔尺寸
E304-PHOTO-002,ELEC,E-304,强弱电箱柜内竖向关系,user_site_photo,drawings/evidence/E304-entry-cabinet-overview.jpg,,drawings/evidence/E304-entry-cabinet-overview.jpg,e9d9bf64928f264d6d59a3184b791b3a92464ff8d36f5d09e651269d76c8508f,玄关高柜全景；用户确认上部透明盖箱为带空气开关的强电配电箱、下部白色箱为弱电箱,强电配电箱位于上部柜格且弱电箱位于右下柜格并由多层木质层板分隔,强弱电箱身份及柜内上下关系,柜体净深、准确标高、柜门关闭后的通风量及任何产品安装许可,verified_user_photo_with_identification,1.00,no,no,,,,,elec-source-evidence.csv,"{""evidence_id"":""E304-PHOTO-002"",""discipline"":""ELEC"",""sheet_id"":""E-304"",""decision_scope"":""强弱电箱柜内竖向关系"",""source_kind"":""user_site_photo"",""source_document"":""drawings/evidence/E304-entry-cabinet-overview.jpg"",""source_sha256"":""e9d9bf64928f264d6d59a3184b791b3a92464ff8d36f5d09e651269d76c8508f"",""source_locator"":""玄关高柜全景；用户确认上部透明盖箱为带空气开关的强电配电箱、下部白色箱为弱电箱"",""evidence"":""强电配电箱位于上部柜格且弱电箱位于右下柜格并由多层木质层板分隔"",""proves"":""强弱电箱身份及柜内上下关系"",""does_not_prove"":""柜体净深、准确标高、柜门关闭后的通风量及任何产品安装许可"",""status"":""verified_user_photo_with_identification"",""confidence"":""1.00"",""review_required"":""no"",""formal_ifc_write_allowed"":""no"",""notes"":""原始960×1280 JPEG按字节固化；照片支持实物关系但不替代尺寸复测""}",原始960×1280 JPEG按字节固化；照片支持实物关系但不替代尺寸复测
E304-PHOTO-003,ELEC,E-304,现状弱电箱内部设备与线缆,user_site_photo,drawings/evidence/E304-entry-cabinet-weak-current-box-open.jpg,,drawings/evidence/E304-entry-cabinet-weak-current-box-open.jpg,3d01b1292d7620389e3920cfbd3420a3f0bb1fd77d754a0f59c48ec56dc4d384,弱电箱开启且Huawei设备尚在箱内的近景,现状箱内有一件Huawei带天线网络设备、另一白色未识别组件、电源适配器、橙色网线和盘留线缆且设备线缆空间拥挤,上述设备和线缆在弱电箱内存在且空间拥挤的现状,白色组件身份、Huawei设备准确型号角色、端口映射、线路去向、剩余容量及最终网络拓扑,verified_user_photo,1.00,yes,no,,,,,elec-source-evidence.csv,"{""evidence_id"":""E304-PHOTO-003"",""discipline"":""ELEC"",""sheet_id"":""E-304"",""decision_scope"":""现状弱电箱内部设备与线缆"",""source_kind"":""user_site_photo"",""source_document"":""drawings/evidence/E304-entry-cabinet-weak-current-box-open.jpg"",""source_sha256"":""3d01b1292d7620389e3920cfbd3420a3f0bb1fd77d754a0f59c48ec56dc4d384"",""source_locator"":""弱电箱开启且Huawei设备尚在箱内的近景"",""evidence"":""现状箱内有一件Huawei带天线网络设备、另一白色未识别组件、电源适配器、橙色网线和盘留线缆且设备线缆空间拥挤"",""proves"":""上述设备和线缆在弱电箱内存在且空间拥挤的现状"",""does_not_prove"":""白色组件身份、Huawei设备准确型号角色、端口映射、线路去向、剩余容量及最终网络拓扑"",""status"":""verified_user_photo"",""confidence"":""1.00"",""review_required"":""yes"",""formal_ifc_write_allowed"":""no"",""notes"":""原始1280×960 JPEG按字节固化；不得仅凭商标或外观把设备认定为最终路由器、光猫或交换机""}",原始1280×960 JPEG按字节固化；不得仅凭商标或外观把设备认定为最终路由器、光猫或交换机
E304-PHOTO-004,ELEC,E-304,弱电箱无Huawei设备时的内部布线,user_site_photo,drawings/evidence/E304-entry-cabinet-weak-current-box-cabling.jpg,,drawings/evidence/E304-entry-cabinet-weak-current-box-cabling.jpg,b049f4e6232ae3603a066253b9c975503b691febf73d9802b863324670180909,Huawei设备取出后的弱电箱全景,弱电箱内保留电源、黑色穿线管、盘留的灰白及黄色线缆、橙色网线和一件白色未识别组件且箱下方已有线缆出箱条件,箱内盘留线缆、电源、穿线管、未识别组件及线缆出箱条件的现状,线缆类别与端点通断、白色组件身份、防火封堵状态和最终出线整理方案,verified_user_photo,1.00,yes,no,,,,,elec-source-evidence.csv,"{""evidence_id"":""E304-PHOTO-004"",""discipline"":""ELEC"",""sheet_id"":""E-304"",""decision_scope"":""弱电箱无Huawei设备时的内部布线"",""source_kind"":""user_site_photo"",""source_document"":""drawings/evidence/E304-entry-cabinet-weak-current-box-cabling.jpg"",""source_sha256"":""b049f4e6232ae3603a066253b9c975503b691febf73d9802b863324670180909"",""source_locator"":""Huawei设备取出后的弱电箱全景"",""evidence"":""弱电箱内保留电源、黑色穿线管、盘留的灰白及黄色线缆、橙色网线和一件白色未识别组件且箱下方已有线缆出箱条件"",""proves"":""箱内盘留线缆、电源、穿线管、未识别组件及线缆出箱条件的现状"",""does_not_prove"":""线缆类别与端点通断、白色组件身份、防火封堵状态和最终出线整理方案"",""status"":""verified_user_photo"",""confidence"":""1.00"",""review_required"":""yes"",""formal_ifc_write_allowed"":""no"",""notes"":""原始1280×960 JPEG按字节固化；盘留弯曲半径和线路标签须现场复核""}",原始1280×960 JPEG按字节固化；盘留弯曲半径和线路标签须现场复核
