node_id,sheet_id,category,scope,confirmed_evidence,variable_parameters,unresolved_material_or_product,unresolved_manufacturer,unresolved_construction,review_owner,source_references,review_required,review_status,automatic_ifc_write_allowed,construction_release_ready,source_ifc_sha256
D601-N01,D-601,墙面阳角,主要通行动线与高频接触区,已有需求：阳角采用圆角、倒角或护角做法；未选定其中一种,位置｜转角形式｜可见面宽度｜与墙面完成面的关系,护角/饰面产品与颜色样板未定,待产品系统确认后填写；当前不指定厂家,基层、固定方式、转角层次及耐撞性做法未定,设计/材料供应商/现场,深化设计注意事项#9；施工图检查清单 D-601,yes,candidate_pending_review,false,false,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
D601-N02,D-601,地面材料交界,F11/F21 地板与 F20 银白洞石岩板等交界,F11/F21=地板、F20=银白洞石岩板；已确认完成面构造区 50 mm，但 IFC 仍为零厚度参考面,交界位置｜收口型式｜缝宽｜高差｜伸缩/维修条件,地板和岩板最终产品、规格、样板未定,待产品系统确认后填写；当前不指定厂家,50 mm 构造区内真实分层、基层和粘结/龙骨系统未闭合,设计/材料供应商/现场,PM A-105 地坪材料与构造区；a105-floor-review.csv,yes,candidate_pending_review,false,false,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
D601-N03,D-601,门槛与推拉门地轨,M01–M08 门槛及推拉门地轨联动,门槛已确认齐平优先；只有机械证明溢水风险时才采用高差与 45° 倒角,门号｜两侧完成面｜齐平/防水策略｜地轨型式｜门下净空,门槛石/金属收口及地轨产品未定,待产品系统确认后填写；当前不指定厂家,防水收口、门下净空、溢水路径及固定构造未定,设计/门窗厂家/防水/现场,a105-threshold-review.csv；PM A-105 门槛策略,yes,candidate_pending_review,false,false,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
D601-N04,D-601,墙地顶收口,踢脚、墙顶交界与不同材料收口,墙面候选已区分大白墙与 Tadelakt 意图；最终产品选择已延后,房间/墙段｜踢脚型式｜墙顶收口｜材料分界｜阴影缝/密封策略,Tadelakt 系统、大白墙涂料系统、踢脚产品和样板未定,待产品系统确认后填写；当前不指定厂家,完成面总厚、基层、防水衔接与分界构造未定,设计/材料供应商/现场,wfin-open-issues.csv WFIN-R01/R02/R03；施工图检查清单 D-601,yes,candidate_pending_review,false,false,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
D601-N05,D-601,柜墙交界,固定家具、台面、饰面与墙体交界,INT1 现有对象只作协调包络，不作加工、开孔或粗装尺寸,空间/柜组｜收口位置｜可调节缝｜密封｜拆装与检修路径,柜体、台面、封板及收口产品未定,待产品系统确认后填写；当前不指定厂家,墙体基层、固定件、防潮/密封和现场误差吸收方式未定,室内设计/全屋定制/现场,PM INT1；int1-drawing-report.json,yes,candidate_pending_review,false,false,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
D601-N06,D-601,阳台管道包覆,阳台水管、阀门、接头与检修口,检查清单要求管道包覆不得阻断阀门、接头检修,管道/阀门位置｜包覆边界｜检修口｜通风/冷凝水｜拆卸顺序,包覆面材、检修口和五金未定,待产品系统确认后填写；当前不指定厂家,龙骨/板材、防潮、密封、管道振动隔离及可拆结构未定,设计/给排水/全屋定制/现场,施工图检查清单 D-601,yes,candidate_pending_review,false,false,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
D602-N01,D-602,防水范围,卫生间、淋浴区、厨房及阳台,湿区与墙面材意图已有候选；防水范围和高度尚未确认,空间｜墙/地范围｜上翻高度｜终止位置｜与门窗/柜体衔接,防水产品系统、底涂、增强层和密封材未定,待产品系统确认后填写；当前不指定厂家,基层处理、遍数/厚度、上翻与收头构造未定,防水供应商/设计/施工/监理,施工图检查清单 D-602；wfin-open-issues.csv WFIN-R02,yes,candidate_pending_review,false,false,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
D602-N02,D-602,淋浴排水,淋浴区、地漏与毛发过滤,18 个湿区坡面的 1.047% 及箭头所示下坡方向已确认；毛发过滤需求已记录,湿区｜地漏位置/型式｜排水路径｜毛发网取出方向｜检修与清理空间,地漏、线性排水和毛发过滤产品未定,待产品系统确认后填写；当前不指定厂家,地漏翼环、防水压接、找坡层和可清理构造未定,给排水/防水/洁具供应商/现场,PM 卫生间坡向；深化设计注意事项#8；a105-floor-review.csv,yes,candidate_pending_review,false,false,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
D602-N03,D-602,管根与穿透,供排水、套管、墙地穿透点,现有管线与洁具只有位置/包络协调证据；未得到厂家粗装图,穿透点｜管径/套管｜穿墙/穿地方向｜防水收头｜防火/隔声｜检修,套管、止水、密封与防火封堵系统未定,待产品系统确认后填写；当前不指定厂家,预留洞、套管、防水附加层、封堵与检修顺序未定,给排水/防水/洁具厂家/现场,PM INT1 停止条件；施工图检查清单 D-602,yes,candidate_pending_review,false,false,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
D602-N04,D-602,湿区门槛与墙地交界,卫生间干湿区、门口与墙地阴角,门槛齐平优先已确认；防水和排水路径必须机械闭合后才能发布,门口/墙段｜防水连续性｜附加层｜收头｜齐平条件｜溢水检查,门槛、防水、阴角增强和密封产品未定,待产品系统确认后填写；当前不指定厂家,基层阴角、附加层、门槛下连续防水及完成面衔接未定,防水/设计/门窗/现场,a105-threshold-review.csv；PM DET1 停止条件,yes,candidate_pending_review,false,false,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
D602-N05,D-602,厨房与阳台防水,厨房、阳台及柜体/管道边界,检查清单要求厨房与阳台纳入防水范围；当前无可发布的范围或高度,空间｜用水点｜潜在溢水路径｜墙地范围｜柜体/管道收口｜排水与检修,防水、密封、柜体防潮和检修口产品未定,待产品系统确认后填写；当前不指定厂家,防水连续层、管根、墙地收头、柜下可视检与排水路径未定,防水/厨柜/给排水/现场,施工图检查清单 D-602；PM 阳台管道检修要求,yes,candidate_pending_review,false,false,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
D602-N06,D-602,试水与验收,防水施工、保护层和覆盖前验收,检查清单明确要求试水；当前无已确认的产品系统或验收参数,空间｜试验阶段｜封堵边界｜水位/持续时间｜观察面｜记录与签认,与最终防水系统配套的修补和保护材料未定,待产品系统确认后填写；当前不指定厂家,试水条件、时长、验收标准、缺陷修补与复验流程未定,防水供应商/施工/监理/业主,施工图检查清单 D-602,yes,candidate_pending_review,false,false,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
