appliance_id,appliance_name,category,storage_location_candidate,use_location_candidate,storage_location_confirmed,use_location_confirmed,quantity,rated_power_w,simultaneous_group,water_required,drain_required,gas_required,ventilation_required,model,evidence_reference,status,notes
APP-001,火锅电器,移动厨电,厨房柜内,西厨岛台 NS-01,,西厨岛台 NS-01,1,,NS01-A,no,no,no,no,,业主确认 NS-01 使用场景；准确型号和功率未知,部分确认,准确型号和名牌功率保持 unknown；NS-01 已按两个同时 10A 移动负载端口的不利工况设计两路 C16，未把回路容量冒充为产品功率。
APP-002,搅拌机,移动厨电,厨房柜内,西厨岛台 NS-01,,西厨岛台 NS-01,1,,NS01-B,no,no,no,no,,业主确认 NS-01 使用场景；准确型号和功率未知,部分确认,准确型号和名牌功率保持 unknown；与火锅同时使用时必须分路。
APP-003,Sous-vide 棒,移动厨电,厨房柜内,西厨岛台 NS-01,,西厨岛台 NS-01,1,,NS01-B,no,no,no,no,,业主确认 NS-01 使用场景；准确型号和功率未知,部分确认,准确型号和名牌功率保持 unknown；与火锅同时使用时必须分路。
APP-004,咖啡机,咖啡设备,餐边柜,餐边柜 NS-02,,餐边柜 NS-02,1,,NS02-A,model_dependent,model_dependent,no,no,GS3 / E1 Prima EXP（候选二选一）,业主给出两款候选；厂家资料仅作为候选参数，最终机型未定,部分确认,GS3 与 E1 Prima EXP 均保持候选，未采购、未终选；粗装按 2600W 不利值预留独立 C16 和接线盒，最终面板按实购插头匹配。
APP-005,手冲电热水壶,咖啡设备,餐边柜,餐边柜 NS-02,,餐边柜 NS-02,1,1200,NS02-A,no,no,no,no,,业主提供 Hario 品牌和 1200W；准确型号待定,部分确认,1200W 为业主提供的候选功率，仍须按实购型号和铭牌复核；不与咖啡机同时使用。
APP-006,磨豆机,咖啡设备,餐边柜,餐边柜 NS-02,,餐边柜 NS-02,1,,NS02-B,no,no,no,no,,业主确认 NS-02 使用场景；准确型号和功率未知,部分确认,与咖啡机同时使用；型号和铭牌功率保持 unknown。
APP-007,冰箱 1,固定厨房电器,西厨,西厨,,西厨,1,,CONTINUOUS,no,no,no,yes,,,待填写,持续供电且不得进入照明总控
APP-008,冰箱 2,固定厨房电器,西厨,西厨,,西厨,1,,CONTINUOUS,no,no,no,yes,,,待填写,持续供电且不得进入照明总控
APP-009,岛台洗碗机 1,固定厨房电器,西厨岛台,西厨岛台,,西厨岛台,1,2000,DISHWASHER-A,yes,yes,no,no,Siemens SJ85ZX26MC,"【用户选型候选】https://e.tb.cn/h.8TnxVNjugUfIImB?tk=93QITaQnSCj CZ007
【西门子中国】https://www.siemens-home.bsh-group.com/cn/zh/mkt-product/SJ85ZX26MC
【官方规格表】drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-specsheet.pdf
【官方安装图】drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-installation-9002067344_A.pdf
【官方说明书】drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-user-manual-9002057324_C.pdf",部分确认,候选洗碗机未采购；按官方 2000W/10A 和两台同时工况，每台各配 10A 接地插座、独立 C16 RCBO 和 2.5mm² 铜线。
APP-010,岛台洗碗机 2,固定厨房电器,西厨岛台,西厨岛台,,西厨岛台,1,2000,DISHWASHER-B,yes,yes,no,no,Siemens SJ85ZX26MC,"【用户选型候选】https://e.tb.cn/h.8TnxVNjugUfIImB?tk=93QITaQnSCj CZ007
【西门子中国】https://www.siemens-home.bsh-group.com/cn/zh/mkt-product/SJ85ZX26MC
【官方规格表】drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-specsheet.pdf
【官方安装图】drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-installation-9002067344_A.pdf
【官方说明书】drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-user-manual-9002057324_C.pdf",部分确认,候选洗碗机未采购；按官方 2000W/10A 和两台同时工况，每台各配 10A 接地插座、独立 C16 RCBO 和 2.5mm² 铜线。
APP-011,烤箱,固定厨房电器,西厨高柜,西厨高柜,西厨高柜,西厨高柜,1,3400,COOKING-A,no,no,no,yes,Siemens HB754G2B1W,APP-011-PHOTO-001;APP-011-OFFICIAL-001,已确认,已到货；官方 3400W/16A 插头。16A 三孔插座、独立 C16 RCBO、4mm² 铜线，插座设相邻可检修柜格而非机身正后。
APP-012,炉灶,固定厨房电器,中厨,中厨,中厨,中厨,1,0,COOKING-B,no,no,yes,yes,Siemens ER9EPA33MP/01（JZT-ER9EPA33MP）,APP-012-PHOTO-001;APP-012-PHOTO-002;APP-012-OFFICIAL-001,已确认,已到货；DC1.5V 电池点火，设备不需电源插座；原灶位插座仅作 10A 检修备用点，接厨房固定辅助回路。
